disease_id,disease_name
EFO_0000094,B-cell acute lymphoblastic leukemia
EFO_0000095,chronic lymphocytic leukemia
EFO_0000096,neoplasm of mature B-cells
EFO_0000178,gastric carcinoma
EFO_0000180,HIV-1 infection
EFO_0000181,head and neck squamous cell carcinoma
EFO_0000182,hepatocellular carcinoma
EFO_0000183,Hodgkins lymphoma
EFO_0000186,invasive breast ductal carcinoma
EFO_0000191,MALT lymphoma
EFO_0000195,metabolic syndrome
EFO_0000196,metastatic prostate cancer
EFO_0000198,myelodysplastic syndrome
EFO_0000199,oral squamous cell carcinoma
EFO_0000220,acute lymphoblastic leukemia
EFO_0000222,acute myeloid leukemia
EFO_0000224,acute promyelocytic leukemia
EFO_0000228,adenocarcinoma
EFO_0000231,adenoid cystic carcinoma
EFO_0000239,adrenal gland pheochromocytoma
EFO_0000266,aortic stenosis
EFO_0000272,astrocytoma
EFO_0000274,atopic eczema
EFO_0000275,atrial fibrillation
EFO_0000278,pancreatitis
EFO_0000279,azoospermia
EFO_0000280,Barrett's esophagus
EFO_0000294,bladder tumor
EFO_0000304,breast adenocarcinoma
EFO_0000305,breast carcinoma
EFO_0000309,Burkitts lymphoma
EFO_0000313,carcinoma
EFO_0000318,cardiomyopathy
EFO_0000319,cardiovascular disease
EFO_0000330,childhood acute myeloid leukemia
EFO_0000335,chromophobe renal cell carcinoma
EFO_0000339,chronic myelogenous leukemia
EFO_0000341,chronic obstructive pulmonary disease
EFO_0000349,clear cell renal carcinoma
EFO_0000365,colorectal adenocarcinoma
EFO_0000384,Crohn's disease
EFO_0000389,cutaneous melanoma
EFO_0000400,diabetes mellitus
EFO_0000401,diabetic nephropathy
EFO_0000403,diffuse large B-cell lymphoma
EFO_0000407,dilated cardiomyopathy
EFO_0000437,embryonal rhabdomyosarcoma
EFO_0000464,emphysema
EFO_0000474,epilepsy
EFO_0000478,esophageal adenocarcinoma
EFO_0000479,essential thrombocythemia
EFO_0000495,fetal growth restriction
EFO_0000503,gastric adenocarcinoma
EFO_0000508,genetic disorder
EFO_0000514,germ cell tumor
EFO_0000519,glioblastoma multiforme
EFO_0000537,hypertension
EFO_0000538,hypertrophic cardiomyopathy
EFO_0000540,immune system disease
EFO_0000544,infection
EFO_0000545,infertility
EFO_0000546,injury
EFO_0000549,insulinoma
EFO_0000558,Kaposi's sarcoma
EFO_0000564,leiomyosarcoma
EFO_0000565,leukemia
EFO_0000569,liposarcoma
EFO_0000571,lung adenocarcinoma
EFO_0000574,lymphoma
EFO_0000588,mesothelioma
EFO_0000589,metabolic disease
EFO_0000612,myocardial infarction
EFO_0000616,neoplasm
EFO_0000621,neuroblastoma
EFO_0000630,oligoastrocytoma
EFO_0000637,osteosarcoma
EFO_0000640,papillary renal cell carcinoma
EFO_0000641,papillary thyroid carcinoma
EFO_0000649,periodontitis
EFO_0000660,polycystic ovary syndrome
EFO_0000666,portal hypertension
EFO_0000668,preeclampsia
EFO_0000673,prostate adenocarcinoma
EFO_0000676,psoriasis
EFO_0000677,mental or behavioural disorder
EFO_0000681,renal cell carcinoma
EFO_0000684,respiratory system disease
EFO_0000685,rheumatoid arthritis
EFO_0000691,sarcoma
EFO_0000701,skin disease
EFO_0000702,small cell lung carcinoma
EFO_0000707,squamous cell carcinoma
EFO_0000708,squamous cell lung carcinoma
EFO_0000712,stroke
EFO_0000717,systemic scleroderma
EFO_0000729,ulcerative colitis
EFO_0000731,uterine fibroid
EFO_0000756,melanoma
EFO_0000760,malignant peripheral nerve sheath tumor
EFO_0000762,hepatocellular adenoma
EFO_0000763,viral disease
EFO_0000764,HIV infection
EFO_0000768,idiopathic pulmonary fibrosis
EFO_0001054,leprosy
EFO_0001060,celiac disease
EFO_0001061,cervical carcinoma
EFO_0001063,deafness
EFO_0001065,endometriosis
EFO_0001066,experimental autoimmune encephalomyelitis
EFO_0001068,malaria
EFO_0001071,lung carcinoma
EFO_0001072,memory impairment
EFO_0001073,obesity
EFO_0001074,morbid obesity
EFO_0001075,ovarian carcinoma
EFO_0001357,sporadic amyotrophic lateral sclerosis
EFO_0001358,post-traumatic stress disorder
EFO_0001361,pulmonary arterial hypertension
EFO_0001365,age-related macular degeneration
EFO_0001376,synovial sarcoma
EFO_0001378,multiple myeloma
EFO_0001421,liver disease
EFO_0001642,lymphoid neoplasm
EFO_0001645,coronary artery disease
EFO_0001663,prostate carcinoma
EFO_0001666,aortic aneurysm
EFO_0002427,myeloid neoplasm
EFO_0002429,polycythemia vera
EFO_0002496,actinic keratosis
EFO_0002499,anaplastic astrocytoma
EFO_0002501,anaplastic oligodendroglioma
EFO_0002571,medical procedure
EFO_0002609,juvenile idiopathic arthritis
EFO_0002617,metastatic melanoma
EFO_0002618,pancreatic carcinoma
EFO_0002687,ischemia reperfusion injury
EFO_0002890,renal carcinoma
EFO_0002892,thyroid carcinoma
EFO_0002916,esophageal carcinoma
EFO_0002917,ovarian serous adenocarcinoma
EFO_0002918,rhabdomyosarcoma
EFO_0002939,medulloblastoma
EFO_0002950,pregnancy
EFO_0002970,muscular disease
EFO_0003014,breast fibrocystic disease
EFO_0003032,anaplastic large cell lymphoma
EFO_0003047,hepatitis C virus infection
EFO_0003050,large cell lung carcinoma
EFO_0003060,non-small cell lung carcinoma
EFO_0003085,dedifferentiated liposarcoma
EFO_0003086,kidney disease
EFO_0003094,ganglioglioma
EFO_0003095,non-alcoholic fatty liver disease
EFO_0003096,Pick disease
EFO_0003097,empyema
EFO_0003105,spina bifida
EFO_0003106,pneumonia
EFO_0003108,essential tremor
EFO_0003144,heart failure
EFO_0003756,autism spectrum disorder
EFO_0003758,autism
EFO_0003767,inflammatory bowel disease
EFO_0003768,nicotine dependence
EFO_0003770,diabetic retinopathy
EFO_0003777,heart disease
EFO_0003778,psoriatic arthritis
EFO_0003779,Hashimoto's thyroiditis
EFO_0003780,Behcet's syndrome
EFO_0003827,pulmonary embolism
EFO_0003833,brain neoplasm
EFO_0003834,cutaneous lupus erythematosus
EFO_0003839,retinopathy
EFO_0003841,thyroid neoplasm
EFO_0003844,ureteral neoplasm
EFO_0003852,developmental disability
EFO_0003854,postmenopausal osteoporosis
EFO_0003863,urogenital neoplasm
EFO_0003865,kidney neoplasm
EFO_0003869,breast neoplasm
EFO_0003872,colitis
EFO_0003875,peripheral vascular disease
EFO_0003877,sleep apnea
EFO_0003882,osteoporosis
EFO_0003884,chronic kidney disease
EFO_0003888,attention deficit hyperactivity disorder
EFO_0003889,functional laterality
EFO_0003890,drug dependence
EFO_0003893,ovarian neoplasm
EFO_0003894,acne
EFO_0003898,ankylosing spondylitis
EFO_0003907,deep vein thrombosis
EFO_0003911,atrial flutter
EFO_0003913,angina pectoris
EFO_0003914,atherosclerosis
EFO_0003924,hair color
EFO_0003931,bone fracture
EFO_0003956,seasonal allergic rhinitis
EFO_0003959,cleft lip
EFO_0003966,eye disease
EFO_0003968,angiosarcoma
EFO_0004125,growth hormone-secreting pituitary adenoma
EFO_0004138,bundle branch block
EFO_0004142,colorectal neoplasm
EFO_0004145,myopathy
EFO_0004149,neuropathy
EFO_0004152,chorea
EFO_0004190,open-angle glaucoma
EFO_0004191,androgenetic alopecia
EFO_0004193,basal cell carcinoma
EFO_0004194,IGA glomerulonephritis
EFO_0004197,hepatitis B virus infection
EFO_0004198,skin neoplasm
EFO_0004208,Vitiligo
EFO_0004209,hypospadias
EFO_0004210,gallstones
EFO_0004220,chronic hepatitis C virus infection
EFO_0004229,Dupuytren Contracture
EFO_0004235,exfoliation syndrome
EFO_0004238,hearing loss
EFO_0004239,chronic hepatitis B virus infection
EFO_0004242,obsessive-compulsive disorder
EFO_0004244,interstitial lung disease
EFO_0004251,myeloproliferative disorder
EFO_0004252,nasopharyngeal neoplasm
EFO_0004253,nephrolithiasis
EFO_0004257,neurotic disorder
EFO_0004260,bone disease
EFO_0004261,osteitis deformans
EFO_0004263,partial epilepsy
EFO_0004264,vascular disease
EFO_0004268,sclerosing cholangitis
EFO_0004269,cardiac arrhythmia
EFO_0004270,restless legs syndrome
EFO_0004274,gout
EFO_0004278,sudden cardiac arrest
EFO_0004282,thoracic aortic aneurysm
EFO_0004286,venous thromboembolism
EFO_0004288,colonic neoplasm
EFO_0004289,lymphoid leukemia
EFO_0004298,cardiovascular measurement
EFO_0004302,anthropometric measurement
EFO_0004305,erythrocyte count
EFO_0004309,platelet count
EFO_0004312,vital capacity
EFO_0004314,forced expiratory volume
EFO_0004319,smoking cessation
EFO_0004324,body weights and measures
EFO_0004327,electrocardiography
EFO_0004329,alcohol drinking
EFO_0004337,intelligence
EFO_0004338,body weight
EFO_0004340,body mass index
EFO_0004341,body fat distribution
EFO_0004343,waist-hip ratio
EFO_0004344,birth weight
EFO_0004346,neuroimaging measurement
EFO_0004348,hematocrit
EFO_0004458,C-reactive protein measurement
EFO_0004468,glucose measurement
EFO_0004503,hematological measurement
EFO_0004509,hemoglobin measurement
EFO_0004514,bone quantitative ultrasound measurement
EFO_0004517,arterial stiffness measurement
EFO_0004520,ICAM-1 measurement
EFO_0004527,mean corpuscular hemoglobin
EFO_0004528,mean corpuscular hemoglobin concentration
EFO_0004529,lipid measurement
EFO_0004530,triglyceride measurement
EFO_0004531,urate measurement
EFO_0004532,serum gamma-glutamyl transferase measurement
EFO_0004533,alkaline phosphatase measurement
EFO_0004536,total blood protein measurement
EFO_0004541,HbA1c measurement
EFO_0004555,glycoprotein measurement
EFO_0004570,bilirubin measurement
EFO_0004574,total cholesterol measurement
EFO_0004587,lymphocyte count
EFO_0004593,gestational diabetes
EFO_0004610,acute lung injury
EFO_0004611,low density lipoprotein cholesterol measurement
EFO_0004612,high density lipoprotein cholesterol measurement
EFO_0004614,apolipoprotein A 1 measurement
EFO_0004615,apolipoprotein B measurement
EFO_0004616,"osteoarthritis, knee"
EFO_0004617,cystatin C measurement
EFO_0004627,IGF-1 measurement
EFO_0004641,white matter integrity
EFO_0004682,QT interval
EFO_0004685,hip geometry
EFO_0004694,factor XI measurement
EFO_0004695,intraocular pressure measurement
EFO_0004696,sex hormone-binding globulin measurement
EFO_0004698,insomnia
EFO_0004703,age at menarche
EFO_0004705,hypothyroidism
EFO_0004713,FEV/FVC ratio
EFO_0004714,sexual dysfunction
EFO_0004725,metabolite measurement
EFO_0004731,eye measurement
EFO_0004736,aspartate aminotransferase measurement
EFO_0004747,protein measurement
EFO_0004761,uric acid measurement
EFO_0004784,self reported educational attainment
EFO_0004799,cholelithiasis
EFO_0004812,interleukin-1 beta measurement
EFO_0004833,neutrophil count
EFO_0004838,calcium measurement
EFO_0004840,cortical thickness
EFO_0004842,eosinophil count
EFO_0004869,YKL40 measurement
EFO_0004875,mathematical ability
EFO_0004888,post operative nausea and vomiting
EFO_0004895,Tourette syndrome
EFO_0004908,testosterone measurement
EFO_0004911,familial hypercholesterolemia
EFO_0004980,appendicular lean mass
EFO_0004983,complement C3 measurement
EFO_0004991,Myasthenia gravis
EFO_0004995,lean body mass
EFO_0004999,N-glycan measurement
EFO_0005001,phenylalanine measurement
EFO_0005046,cutaneous Leishmaniasis
EFO_0005058,tyrosine measurement
EFO_0005088,testicular carcinoma
EFO_0005090,basophil count
EFO_0005091,monocyte count
EFO_0005106,body composition measurement
EFO_0005116,urinary metabolite measurement
EFO_0005128,albumin:globulin ratio measurement
EFO_0005134,amino acid measurement
EFO_0005140,autoimmune disease
EFO_0005193,serum IgG glycosylation measurement
EFO_0005203,eating disorder
EFO_0005207,congenital heart disease
EFO_0005213,central corneal thickness
EFO_0005221,cholangiocarcinoma
EFO_0005232,endometrium adenocarcinoma
EFO_0005288,non-small cell lung adenocarcinoma
EFO_0005306,ventricular tachycardia
EFO_0005318,axial length measurement
EFO_0005537,triple-negative breast cancer
EFO_0005541,bone development disease
EFO_0005543,glioma
EFO_0005545,congenital disorder of glycosylation type I
EFO_0005547,dengue disease
EFO_0005558,hemolytic anemia
EFO_0005584,seborrheic keratosis
EFO_0005611,opioid dependence
EFO_0005631,rectal adenocarcinoma
EFO_0005654,velocity of sound measurement
EFO_0005663,urinary uromodulin measurement
EFO_0005665,white matter hyperintensity measurement
EFO_0005670,smoking initiation
EFO_0005672,acute coronary syndrome
EFO_0005674,white matter microstructure measurement
EFO_0005677,puberty onset measurement
EFO_0005680,omega-6 polyunsaturated fatty acid measurement
EFO_0005687,fibromyalgia
EFO_0005689,non-high density lipoprotein cholesterol measurement
EFO_0005708,renal cell adenocarcinoma
EFO_0005741,infectious disease
EFO_0005751,eye allergy
EFO_0005763,pulse pressure measurement
EFO_0005772,neurodegenerative disease
EFO_0005773,retinal detachment
EFO_0005800,substance withdrawal syndrome
EFO_0005804,polycythemia
EFO_0005854,allergic rhinitis
EFO_0005856,arthritis
EFO_0005922,esophageal squamous cell carcinoma
EFO_0005950,head and neck neoplasia
EFO_0005952,non-Hodgkins lymphoma
EFO_0006318,breast ductal adenocarcinoma
EFO_0006333,transferrin saturation measurement
EFO_0006335,systolic blood pressure
EFO_0006336,diastolic blood pressure
EFO_0006340,mean arterial pressure
EFO_0006352,laryngeal squamous cell carcinoma
EFO_0006460,ovarian adenocarcinoma
EFO_0006525,cigarettes per day measurement
EFO_0006527,smoking status measurement
EFO_0006544,bladder transitional cell carcinoma
EFO_0006781,coffee consumption measurement
EFO_0006788,anxiety disorder
EFO_0006807,linoleic acid measurement
EFO_0006834,septic shock
EFO_0006859,head and neck malignant neoplasia
EFO_0006864,breastfeeding duration
EFO_0006925,lipoprotein A measurement
EFO_0006939,cup-to-disc ratio measurement
EFO_0006941,grip strength measurement
EFO_0006945,diastolic blood pressure change measurement
EFO_0006948,white wine liking measurement
EFO_0007010,drug use measurement
EFO_0007160,autoimmune thrombocytopenic purpura
EFO_0007214,common cold
EFO_0007319,hyperprolactinemia
EFO_0007347,listeriosis
EFO_0007352,lymphatic system disease
EFO_0007412,ossifying fibroma
EFO_0007425,peanut allergic reaction
EFO_0007453,postpartum depression
EFO_0007486,sinusitis
EFO_0007512,tinea pedis
EFO_0007585,Cannabis use
EFO_0007701,spine bone mineral density
EFO_0007745,lactate measurement
EFO_0007761,docosahexaenoic acid measurement
EFO_0007777,base metabolic rate measurement
EFO_0007780,periodontal measurement
EFO_0007785,femoral neck bone mineral density
EFO_0007787,plasma betaine measurement
EFO_0007788,BMI-adjusted waist-hip ratio
EFO_0007789,BMI-adjusted waist circumference
EFO_0007796,parental longevity
EFO_0007800,body fat percentage
EFO_0007803,emotional symptom measurement
EFO_0007805,HDL cholesterol change measurement
EFO_0007814,refractive error measurement
EFO_0007825,balding measurement
EFO_0007837,anti-citrullinated protein antibody seropositivity
EFO_0007865,loneliness measurement
EFO_0007869,wellbeing measurement
EFO_0007874,gut microbiome measurement
EFO_0007924,tonsillectomy risk measurement
EFO_0007934,creatinine clearance measurement
EFO_0007939,respiratory symptom measurement
EFO_0007944,allergen exposure measurement
EFO_0007984,platelet component distribution width
EFO_0007985,platelet crit
EFO_0007986,reticulocyte count
EFO_0007989,monocyte percentage of leukocytes
EFO_0007990,neutrophil percentage of leukocytes
EFO_0007991,eosinophil percentage of leukocytes
EFO_0007992,basophil percentage of leukocytes
EFO_0007993,lymphocyte percentage of leukocytes
EFO_0007996,eosinophil percentage of granulocytes
EFO_0008002,physical activity measurement
EFO_0008039,BMI-adjusted hip circumference
EFO_0008098,complement factor H-related protein 5 measurement
EFO_0008111,diet measurement
EFO_0008266,plexin-C1 measurement
EFO_0008328,chronotype measurement
EFO_0008341,snoring measurement
EFO_0008354,cognitive function measurement
EFO_0008360,environmental exposure measurement
EFO_0008381,total cortical area measurement
EFO_0008393,reaction time measurement
EFO_0008526,status epilepticus
EFO_0008528,urothelial carcinoma
EFO_0008533,dyspepsia
EFO_0008560,female infertility
EFO_0008561,diaphragmatic hernia
EFO_0008572,malnutrition
EFO_0008579,risk-taking behaviour
EFO_0008583,acute myocardial infarction
EFO_0008589,esterified cholesterol measurement
EFO_0008591,free cholesterol measurement
EFO_0008595,intermediate density lipoprotein measurement
EFO_0008615,cystic kidney disease
EFO_0008620,Polycystic Kidney Disease
EFO_0009021,Bardet-Biedl syndrome 1
EFO_0009048,Intrahepatic cholestasis of pregnancy
EFO_0009050,Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome
EFO_0009101,age at first birth measurement
EFO_0009118,female reproductive endometrioid cancer
EFO_0009188,Red cell distribution width
EFO_0009189,hyperthyroidism
EFO_0009190,Thyrotoxicosis
EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement
EFO_0009267,delirium
EFO_0009268,family history of Alzheimer’s disease
EFO_0009270,heel bone mineral density
EFO_0009282,sodium measurement
EFO_0009283,potassium measurement
EFO_0009315,thrombophilia
EFO_0009454,gastric ulcer
EFO_0009464,corneal disease
EFO_0009469,Bartholin gland disease
EFO_0009483,breast disease
EFO_0009492,cardiac arrest
EFO_0009493,paroxysmal tachycardia
EFO_0009531,aortic valve disease
EFO_0009552,hemorrhoid
EFO_0009562,polyneuropathy
EFO_0009579,postpartum hemorrhage
EFO_0009589,worry measurement
EFO_0009592,social interaction measurement
EFO_0009595,guilt measurement
EFO_0009597,feeling nervous measurement
EFO_0009601,testicular disease
EFO_0009675,melanocytic nevus
EFO_0009708,metastasis
EFO_0009717,bilateral oophorectomy
EFO_0009718,peak expiratory flow
EFO_0009719,artificial cardiac pacemaker
EFO_0009749,age at first sexual intercourse measurement
EFO_0009765,alanine measurement
EFO_0009767,glycine measurement
EFO_0009768,glutamine measurement
EFO_0009769,histidine measurement
EFO_0009770,leucine measurement
EFO_0009792,valine measurement
EFO_0009793,isoleucine measurement
EFO_0009805,whole body water mass
EFO_0009806,total hip arthroplasty
EFO_0009924,Drugs used in diabetes use measurement
EFO_0009927,Antihypertensive use measurement
EFO_0009931,Agents acting on the renin-angiotensin system use measurement
EFO_0009946,low density lipoprotein triglyceride measurement
EFO_0009959,diverticular disease
EFO_0010066,corneal hysteresis
EFO_0010067,corneal resistance factor
EFO_0010078,dentures
EFO_0010114,citrate measurement
EFO_0010116,choline measurement
EFO_0010117,pyruvate measurement
EFO_0010118,sphingomyelin measurement
EFO_0010119,omega-3 polyunsaturated fatty acid measurement
EFO_0010134,kidney transplant
EFO_0010139,fish consumption measurement
EFO_0010155,taste liking measurement
EFO_0010270,Menstrual disorder
EFO_0010346,cholesteryl ester 18:3 measurement
EFO_0010349,cholesteryl ester 20:5 measurement
EFO_0010351,cholesteryl ester measurement
EFO_0010386,phosphatidylcholine 38:4 measurement
EFO_0010411,triacylglycerol 50:4 measurement
EFO_0010430,triacylglycerol 56:3 measurement
EFO_0010431,triacylglycerol 56:4 measurement
EFO_0010488,glycerol-3-phosphate measurement
EFO_0010554,retinal vasculature measurement
EFO_0010567,"spastic tetraplegia and axial hypotonia, progressive"
EFO_0010573,kallikrein-11 measurement
EFO_0010593,cystatin B measurement
EFO_0010610,tumor necrosis factor receptor superfamily member 6 measurement
EFO_0010639,pain measurement
EFO_0010642,Neurodevelopmental disorder
EFO_0010653,"intellectual developmental disorder with speech delay, autism and dysmorphic facies"
EFO_0010660,neurodevelopmental disorder with macrocephaly and with or without seizures
EFO_0010682,liver transplant
EFO_0010701,mean reticulocyte volume
EFO_0010702,opioid use disorder
EFO_0010724,lifestyle measurement
EFO_0010732,omega-6:omega-3 polyunsaturated fatty acid ratio
EFO_0010733,polyunsaturated fatty acid measurement
EFO_0010815,remnant cholesterol measurement
EFO_0010922,P-selectin glycoprotein ligand 1 measurement
EFO_0010934,aspartate aminotransferase to alanine aminotransferase ratio
EFO_0010968,phosphate measurement
EFO_0010972,blood phosphate measurement
EFO_0010982,3-hydroxybutyrate measurement
EFO_0010989,acetone measurement
EFO_0011005,urea measurement
EFO_0011011,sitting height measurement
EFO_0011015,educational attainment
EFO_0020020,succinylcarnitine measurement
EFO_0020044,eicosanoids measurement
EFO_0020062,diacylglycerol 36:3 measurement
EFO_0020094,Lambert-Eaton myasthenic syndrome
EFO_0020095,trochanter bone mineral density
EFO_0020097,QRS-T angle
EFO_0020230,carbonic anhydrase 4 measurement
EFO_0020523,kremen protein 2 measurement
EFO_0020833,tyrosine-protein kinase ZAP-70 measurement
EFO_0020865,aortic measurement
EFO_0020942,propionylcarnitine measurement
EFO_0020943,cholesterol:total lipids ratio
EFO_0020944,cholesteryl esters:total lipids ratio
EFO_0020945,free cholesterol:total lipids ratio
EFO_0020946,phospholipids:total lipids ratio
EFO_0020947,triglycerides:total lipids ratio
EFO_0021030,arabinose measurement
EFO_0021040,hexanoylcarnitine measurement
EFO_0021042,octanoylcarnitine measurement
EFO_0021043,oleoylcarnitine measurement
EFO_0021114,"4-androsten-3beta,17beta-diol disulfate 2 measurement"
EFO_0021127,aspartylphenylalanine measurement
EFO_0021283,X-12063 measurement
EFO_0021440,cholesteryl ester 20:2 measurement
EFO_0021441,cholesteryl ester 22:0 measurement
EFO_0021449,cholesteryl ester 24:6 measurement
EFO_0021459,lysophosphatidylcholine 22:0 measurement
EFO_0021543,1-Methylhistidine measurement
EFO_0021796,sexual dimorphism measurement
EFO_0021849,protein Z-dependent protease inhibitor measurement
EFO_0021854,apolipoprotein L1 measurement
EFO_0021886,e3 ubiquitin-protein ligase RNF43 measurement
EFO_0021897,apolipoprotein B to apolipoprotein A1 ratio 
EFO_0021898,cholesterol in chylomicrons and extremely large VLDL measurement 
EFO_0021900,cholesterol in large HDL measurement 
EFO_0021901,cholesterol in large LDL measurement 
EFO_0021902,cholesterol in large VLDL measurement 
EFO_0021903,cholesterol in medium HDL measurement 
EFO_0021998,bcl2-associated agonist of cell death measurement
EFO_0022039,ultraviolet radiation exposure measurement
EFO_0022046,sulcal opening distance
EFO_0022110,"Sphingomyelin (d18:1/20:1, d18:2/20:0) measurement"
EFO_0022144,triglycerides in very small VLDL measurement
EFO_0022145,triglycerides in small VLDL measurement
EFO_0022146,phospholipids in small VLDL measurement
EFO_0022147,concentration of small VLDL particles
EFO_0022148,total lipids in small VLDL
EFO_0022149,triglycerides in IDL measurement
EFO_0022151,concentration of very small VLDL particles
EFO_0022152,concentration of medium VLDL particles
EFO_0022153,total lipids in medium VLDL
EFO_0022154,phospholipids in medium VLDL measurement
EFO_0022155,triglycerides in medium VLDL measurement
EFO_0022156,total lipids in very small VLDL measurement
EFO_0022157,free cholesterol in large HDL measurement
EFO_0022158,triglycerides in small HDL measurement
EFO_0022160,concentration of large LDL particles measurement
EFO_0022163,total lipids in large LDL
