ensembl_id,gene_symbol
ENSG00000000938,FGR
ENSG00000000971,CFH
ENSG00000001460,STPG1
ENSG00000001626,CFTR
ENSG00000002745,WNT16
ENSG00000002822,MAD1L1
ENSG00000002834,LASP1
ENSG00000002933,TMEM176A
ENSG00000003137,CYP26B1
ENSG00000004478,FKBP4
ENSG00000004779,NDUFAB1
ENSG00000004799,PDK4
ENSG00000004809,SLC22A16
ENSG00000004864,SLC25A13
ENSG00000004897,CDC27
ENSG00000004939,SLC4A1
ENSG00000005020,SKAP2
ENSG00000005059,MCUB
ENSG00000005073,HOXA11
ENSG00000005243,COPZ2
ENSG00000005339,CREBBP
ENSG00000005381,MPO
ENSG00000005421,PON1
ENSG00000005471,ABCB4
ENSG00000005483,KMT2E
ENSG00000005961,ITGA2B
ENSG00000006062,MAP3K14
ENSG00000006071,ABCC8
ENSG00000006125,AP2B1
ENSG00000006128,TAC1
ENSG00000006282,SPATA20
ENSG00000006283,CACNA1G
ENSG00000006377,DLX6
ENSG00000006453,BAIAP2L1
ENSG00000006468,ETV1
ENSG00000006638,TBXA2R
ENSG00000007062,PROM1
ENSG00000007168,PAFAH1B1
ENSG00000007314,SCN4A
ENSG00000007866,TEAD3
ENSG00000007944,MYLIP
ENSG00000008083,JARID2
ENSG00000008086,CDKL5
ENSG00000008196,TFAP2B
ENSG00000008300,CELSR3
ENSG00000008394,MGST1
ENSG00000008710,PKD1
ENSG00000008988,RPS20
ENSG00000009709,PAX7
ENSG00000009950,MLXIPL
ENSG00000009954,BAZ1B
ENSG00000010072,SPRTN
ENSG00000010165,METTL13
ENSG00000010310,GIPR
ENSG00000010318,PHF7
ENSG00000010319,SEMA3G
ENSG00000010327,STAB1
ENSG00000010379,SLC6A13
ENSG00000010610,CD4
ENSG00000010671,BTK
ENSG00000010704,HFE
ENSG00000011105,TSPAN9
ENSG00000011143,MKS1
ENSG00000011295,TTC19
ENSG00000011347,SYT7
ENSG00000011405,PIK3C2A
ENSG00000011454,RABGAP1
ENSG00000011523,CEP68
ENSG00000011566,MAP4K3
ENSG00000011677,GABRA3
ENSG00000012048,BRCA1
ENSG00000012660,ELOVL5
ENSG00000013016,EHD3
ENSG00000013293,SLC7A14
ENSG00000013523,ANGEL1
ENSG00000013810,TACC3
ENSG00000014123,UFL1
ENSG00000014138,POLA2
ENSG00000014257,ACP3
ENSG00000014914,MTMR11
ENSG00000015171,ZMYND11
ENSG00000015413,DPEP1
ENSG00000015520,NPC1L1
ENSG00000016082,ISL1
ENSG00000017427,IGF1
ENSG00000018280,SLC11A1
ENSG00000018408,WWTR1
ENSG00000018699,TTC27
ENSG00000019582,CD74
ENSG00000019991,HGF
ENSG00000020633,RUNX3
ENSG00000020922,MRE11
ENSG00000021574,SPAST
ENSG00000021645,NRXN3
ENSG00000021826,CPS1
ENSG00000022267,FHL1
ENSG00000022355,GABRA1
ENSG00000023041,ZDHHC6
ENSG00000023445,BIRC3
ENSG00000023516,AKAP11
ENSG00000023572,GLRX2
ENSG00000023892,DEF6
ENSG00000025434,NR1H3
ENSG00000025708,TYMP
ENSG00000025770,NCAPH2
ENSG00000026025,VIM
ENSG00000026103,FAS
ENSG00000026652,AGPAT4
ENSG00000027001,MIPEP
ENSG00000027697,IFNGR1
ENSG00000028137,TNFRSF1B
ENSG00000028839,TBPL1
ENSG00000029363,BCLAF1
ENSG00000029534,ANK1
ENSG00000029725,RABEP1
ENSG00000030066,NUP160
ENSG00000030304,MUSK
ENSG00000030419,IKZF2
ENSG00000032219,ARID4A
ENSG00000033011,ALG1
ENSG00000033170,FUT8
ENSG00000033800,PIAS1
ENSG00000035115,SH3YL1
ENSG00000035928,RFC1
ENSG00000036257,CUL3
ENSG00000036530,CYP46A1
ENSG00000036549,ZZZ3
ENSG00000037280,FLT4
ENSG00000037474,NSUN2
ENSG00000038295,TLL1
ENSG00000038427,VCAN
ENSG00000038945,MSR1
ENSG00000039068,CDH1
ENSG00000039139,DNAH5
ENSG00000039537,C6
ENSG00000039560,RAI14
ENSG00000040341,STAU2
ENSG00000041357,PSMA4
ENSG00000041515,MYO16
ENSG00000041880,PARP3
ENSG00000041982,TNC
ENSG00000041988,THAP3
ENSG00000043591,ADRB1
ENSG00000046604,DSG2
ENSG00000046651,OFD1
ENSG00000046889,PREX2
ENSG00000047056,WDR37
ENSG00000047249,ATP6V1H
ENSG00000047578,KATNIP
ENSG00000047579,DTNBP1
ENSG00000047617,ANO2
ENSG00000047849,MAP4
ENSG00000047936,ROS1
ENSG00000048052,HDAC9
ENSG00000048342,CC2D2A
ENSG00000048392,RRM2B
ENSG00000048405,ZNF800
ENSG00000048462,TNFRSF17
ENSG00000048540,LMO3
ENSG00000048828,FAM120A
ENSG00000049130,KITLG
ENSG00000049192,ADAMTS6
ENSG00000049239,H6PD
ENSG00000049541,RFC2
ENSG00000049618,ARID1B
ENSG00000049759,NEDD4L
ENSG00000050327,ARHGEF5
ENSG00000050344,NFE2L3
ENSG00000050628,PTGER3
ENSG00000051180,RAD51
ENSG00000051382,PIK3CB
ENSG00000051825,MPHOSPH9
ENSG00000052795,FNIP2
ENSG00000052841,TTC17
ENSG00000053900,ANAPC4
ENSG00000054523,KIF1B
ENSG00000054598,FOXC1
ENSG00000054938,CHRDL2
ENSG00000054983,GALC
ENSG00000055147,FAM114A2
ENSG00000055163,CYFIP2
ENSG00000055208,TAB2
ENSG00000055609,KMT2C
ENSG00000055950,MRPL43
ENSG00000055955,ITIH4
ENSG00000057294,PKP2
ENSG00000057593,F7
ENSG00000057657,PRDM1
ENSG00000057663,ATG5
ENSG00000058335,RASGRF1
ENSG00000058729,RIOK2
ENSG00000058804,NDC1
ENSG00000060138,YBX3
ENSG00000060237,WNK1
ENSG00000060566,CREB3L3
ENSG00000060642,PIGV
ENSG00000060718,COL11A1
ENSG00000060982,BCAT1
ENSG00000061273,HDAC7
ENSG00000061918,GUCY1B1
ENSG00000061938,TNK2
ENSG00000061987,MON2
ENSG00000062038,CDH3
ENSG00000062282,DGAT2
ENSG00000062716,VMP1
ENSG00000062822,POLD1
ENSG00000063176,SPHK2
ENSG00000063177,RPL18
ENSG00000063660,GPC1
ENSG00000064012,CASP8
ENSG00000064225,ST3GAL6
ENSG00000064309,CDON
ENSG00000064313,TAF2
ENSG00000064601,CTSA
ENSG00000064651,SLC12A2
ENSG00000064655,EYA2
ENSG00000064703,DDX20
ENSG00000064787,BCAS1
ENSG00000064835,POU1F1
ENSG00000064989,CALCRL
ENSG00000064999,ANKS1A
ENSG00000065000,AP3D1
ENSG00000065054,NHERF2
ENSG00000065060,BLTP3A
ENSG00000065243,PKN2
ENSG00000065361,ERBB3
ENSG00000065526,SPEN
ENSG00000065559,MAP2K4
ENSG00000065600,PACC1
ENSG00000065609,SNAP91
ENSG00000065621,GSTO2
ENSG00000065989,PDE4A
ENSG00000066027,PPP2R5A
ENSG00000066032,CTNNA2
ENSG00000066279,ASPM
ENSG00000066382,MPPED2
ENSG00000066422,ZBTB11
ENSG00000066427,ATXN3
ENSG00000066468,FGFR2
ENSG00000066735,KIF26A
ENSG00000066827,ZFAT
ENSG00000067064,IDI1
ENSG00000067082,KLF6
ENSG00000067182,TNFRSF1A
ENSG00000067208,EVI5
ENSG00000067221,STOML1
ENSG00000067560,RHOA
ENSG00000067842,ATP2B3
ENSG00000067900,ROCK1
ENSG00000067992,PDK3
ENSG00000068024,HDAC4
ENSG00000068078,FGFR3
ENSG00000068120,COASY
ENSG00000068615,REEP1
ENSG00000068650,ATP11A
ENSG00000068784,SRBD1
ENSG00000068885,IFT80
ENSG00000068976,PYGM
ENSG00000069020,MAST4
ENSG00000069399,BCL3
ENSG00000069431,ABCC9
ENSG00000069482,GAL
ENSG00000069667,RORA
ENSG00000069849,ATP1B3
ENSG00000069974,RAB27A
ENSG00000070019,GUCY2C
ENSG00000070031,SCT
ENSG00000070193,FGF10
ENSG00000070366,SMG6
ENSG00000070540,WIPI1
ENSG00000070778,PTPN21
ENSG00000070831,CDC42
ENSG00000070915,SLC12A3
ENSG00000070950,RAD18
ENSG00000071051,NCK2
ENSG00000071082,RPL31
ENSG00000071127,WDR1
ENSG00000071189,SNX13
ENSG00000071462,BUD23
ENSG00000071564,TCF3
ENSG00000071575,TRIB2
ENSG00000072110,ACTN1
ENSG00000072657,TRHDE
ENSG00000072682,P4HA2
ENSG00000072694,FCGR2B
ENSG00000072818,ACAP1
ENSG00000072952,IRAG1
ENSG00000073060,SCARB1
ENSG00000073067,CYP2W1
ENSG00000073331,ALPK1
ENSG00000073578,SDHA
ENSG00000073605,GSDMB
ENSG00000073712,FERMT2
ENSG00000073734,ABCB11
ENSG00000073737,DHRS9
ENSG00000073756,PTGS2
ENSG00000073792,IGF2BP2
ENSG00000073849,ST6GAL1
ENSG00000073921,PICALM
ENSG00000073969,NSF
ENSG00000074047,GLI2
ENSG00000074410,CA12
ENSG00000074527,NTN4
ENSG00000074582,BCS1L
ENSG00000074590,NUAK1
ENSG00000075035,WSCD2
ENSG00000075043,KCNQ2
ENSG00000075151,EIF4G3
ENSG00000075218,GTSE1
ENSG00000075239,ACAT1
ENSG00000075292,ZNF638
ENSG00000075388,FGF4
ENSG00000075413,MARK3
ENSG00000075426,FOSL2
ENSG00000075429,CACNG5
ENSG00000075568,TMEM131
ENSG00000075618,FSCN1
ENSG00000075651,PLD1
ENSG00000075711,DLG1
ENSG00000075884,ARHGAP15
ENSG00000075891,PAX2
ENSG00000075975,MKRN2
ENSG00000076003,MCM6
ENSG00000076067,RBMS2
ENSG00000076201,PTPN23
ENSG00000076242,MLH1
ENSG00000076554,TPD52
ENSG00000076555,ACACB
ENSG00000076984,MAP2K7
ENSG00000077044,DGKD
ENSG00000077063,CTTNBP2
ENSG00000077080,ACTL6B
ENSG00000077092,RARB
ENSG00000077454,LRCH4
ENSG00000077498,TYR
ENSG00000077514,POLD3
ENSG00000077684,JADE1
ENSG00000077782,FGFR1
ENSG00000077943,ITGA8
ENSG00000078061,ARAF
ENSG00000078114,NEBL
ENSG00000078140,UBE2K
ENSG00000078177,N4BP2
ENSG00000078269,SYNJ2
ENSG00000078369,GNB1
ENSG00000078401,EDN1
ENSG00000078403,MLLT10
ENSG00000079134,THOC1
ENSG00000079215,SLC1A3
ENSG00000079263,SP140
ENSG00000079313,REXO1
ENSG00000079393,DUSP13B
ENSG00000079432,CIC
ENSG00000079459,FDFT1
ENSG00000079616,KIF22
ENSG00000079691,CARMIL1
ENSG00000079739,PGM1
ENSG00000079819,EPB41L2
ENSG00000080031,PTPRH
ENSG00000080166,DCT
ENSG00000080644,CHRNA3
ENSG00000080802,CNOT4
ENSG00000080815,PSEN1
ENSG00000080819,CPOX
ENSG00000080823,MOK
ENSG00000080824,HSP90AA1
ENSG00000080854,IGSF9B
ENSG00000081026,MAGI3
ENSG00000081051,AFP
ENSG00000081052,COL4A4
ENSG00000081059,TCF7
ENSG00000081148,IMPG2
ENSG00000081177,EXD2
ENSG00000081189,MEF2C
ENSG00000081237,PTPRC
ENSG00000081248,CACNA1S
ENSG00000081760,AACS
ENSG00000081923,ATP8B1
ENSG00000081985,IL12RB2
ENSG00000082175,PGR
ENSG00000082258,CCNT2
ENSG00000082438,COBLL1
ENSG00000082482,KCNK2
ENSG00000082512,TRAF5
ENSG00000082556,OPRK1
ENSG00000082781,ITGB5
ENSG00000082898,XPO1
ENSG00000083093,PALB2
ENSG00000083307,GRHL2
ENSG00000083312,TNPO1
ENSG00000083444,PLOD1
ENSG00000083642,PDS5B
ENSG00000083799,CYLD
ENSG00000083857,FAT1
ENSG00000084093,REST
ENSG00000084674,APOB
ENSG00000084710,EFR3B
ENSG00000084734,GCKR
ENSG00000084764,MAPRE3
ENSG00000084774,CAD
ENSG00000085224,ATRX
ENSG00000085274,MYNN
ENSG00000085276,MECOM
ENSG00000085491,SLC25A24
ENSG00000085563,ABCB1
ENSG00000085721,RRN3
ENSG00000085760,MTIF2
ENSG00000085788,DDHD2
ENSG00000086015,MAST2
ENSG00000086062,B4GALT1
ENSG00000086189,DIMT1
ENSG00000086289,EPDR1
ENSG00000086300,SNX10
ENSG00000086475,SEPHS1
ENSG00000086991,NOX4
ENSG00000087076,HSD17B14
ENSG00000087128,TMPRSS11E
ENSG00000087157,PGS1
ENSG00000087191,PSMC5
ENSG00000087206,UIMC1
ENSG00000087237,CETP
ENSG00000087460,GNAS
ENSG00000087470,DNM1L
ENSG00000087494,PTHLH
ENSG00000087502,ERGIC2
ENSG00000087586,AURKA
ENSG00000088002,SULT2B1
ENSG00000088038,CNOT3
ENSG00000088205,DDX18
ENSG00000088280,ASAP3
ENSG00000088451,TGDS
ENSG00000088727,KIF9
ENSG00000088826,SMOX
ENSG00000088827,SIGLEC1
ENSG00000088832,FKBP1A
ENSG00000088930,XRN2
ENSG00000089177,KIF16B
ENSG00000089250,NOS1
ENSG00000089280,FUS
ENSG00000089472,HEPH
ENSG00000089692,LAG3
ENSG00000089818,NECAP1
ENSG00000089820,ARHGAP4
ENSG00000090339,ICAM1
ENSG00000090382,LYZ
ENSG00000090447,TFAP4
ENSG00000090470,PDCD7
ENSG00000090615,GOLGA3
ENSG00000090621,PABPC4
ENSG00000090674,MCOLN1
ENSG00000090863,GLG1
ENSG00000090905,TNRC6A
ENSG00000090932,DLL3
ENSG00000091106,NLRC4
ENSG00000091138,SLC26A3
ENSG00000091157,WDR7
ENSG00000091317,CMTM6
ENSG00000091409,ITGA6
ENSG00000091483,FH
ENSG00000091490,SEL1L3
ENSG00000091536,MYO15A
ENSG00000091583,APOH
ENSG00000091656,ZFHX4
ENSG00000091732,ZC3HC1
ENSG00000091831,ESR1
ENSG00000091844,RGS17
ENSG00000092020,PPP2R3C
ENSG00000092068,SLC7A8
ENSG00000092529,CAPN3
ENSG00000092607,TBX15
ENSG00000092758,COL9A3
ENSG00000092847,AGO1
ENSG00000092929,UNC13D
ENSG00000092969,TGFB2
ENSG00000093010,COMT
ENSG00000093167,LRRFIP2
ENSG00000095002,MSH2
ENSG00000095015,MAP3K1
ENSG00000095209,TMEM38B
ENSG00000095303,PTGS1
ENSG00000095321,CRAT
ENSG00000095380,NANS
ENSG00000095397,WHRN
ENSG00000095485,CWF19L1
ENSG00000095596,CYP26A1
ENSG00000095787,WAC
ENSG00000095951,HIVEP1
ENSG00000095981,KCNK16
ENSG00000096060,FKBP5
ENSG00000096088,PGC
ENSG00000096384,HSP90AB1
ENSG00000096696,DSP
ENSG00000096717,SIRT1
ENSG00000096968,JAK2
ENSG00000097007,ABL1
ENSG00000097046,CDC7
ENSG00000099246,RAB18
ENSG00000099256,PRTFDC1
ENSG00000099282,TSPAN15
ENSG00000099381,SETD1A
ENSG00000099795,NDUFB7
ENSG00000099810,MTAP
ENSG00000099937,SERPIND1
ENSG00000099956,SMARCB1
ENSG00000099974,DDTL
ENSG00000099977,DDT
ENSG00000099991,CABIN1
ENSG00000100014,SPECC1L
ENSG00000100154,TTC28
ENSG00000100209,HSCB
ENSG00000100211,CBY1
ENSG00000100219,XBP1
ENSG00000100226,GTPBP1
ENSG00000100227,POLDIP3
ENSG00000100234,TIMP3
ENSG00000100242,SUN2
ENSG00000100243,CYB5R3
ENSG00000100249,C22orf31
ENSG00000100292,HMOX1
ENSG00000100311,PDGFB
ENSG00000100316,RPL3
ENSG00000100320,RBFOX2
ENSG00000100330,MTMR3
ENSG00000100342,APOL1
ENSG00000100344,PNPLA3
ENSG00000100345,MYH9
ENSG00000100346,CACNA1I
ENSG00000100364,KIAA0930
ENSG00000100368,CSF2RB
ENSG00000100385,IL2RB
ENSG00000100393,EP300
ENSG00000100429,HDAC10
ENSG00000100433,KCNK10
ENSG00000100441,KHNYN
ENSG00000100479,POLE2
ENSG00000100485,SOS2
ENSG00000100558,PLEK2
ENSG00000100599,RIN3
ENSG00000100603,SNW1
ENSG00000100604,CHGA
ENSG00000100605,ITPK1
ENSG00000100632,ERH
ENSG00000100644,HIF1A
ENSG00000100647,SUSD6
ENSG00000100697,DICER1
ENSG00000100784,RPS6KA5
ENSG00000100796,PPP4R3A
ENSG00000100804,PSMB5
ENSG00000100813,ACIN1
ENSG00000100815,TRIP11
ENSG00000100823,APEX1
ENSG00000100979,PLTP
ENSG00000100982,PCIF1
ENSG00000100985,MMP9
ENSG00000100991,TRPC4AP
ENSG00000100994,PYGB
ENSG00000101003,GINS1
ENSG00000101019,UQCC1
ENSG00000101076,HNF4A
ENSG00000101096,NFATC2
ENSG00000101115,SALL4
ENSG00000101144,BMP7
ENSG00000101162,TUBB1
ENSG00000101180,HRH3
ENSG00000101204,CHRNA4
ENSG00000101210,EEF1A2
ENSG00000101246,ARFRP1
ENSG00000101292,PROKR2
ENSG00000101294,HM13
ENSG00000101307,SIRPB1
ENSG00000101311,FERMT1
ENSG00000101323,HAO1
ENSG00000101346,POFUT1
ENSG00000101384,JAG1
ENSG00000101400,SNTA1
ENSG00000101421,CHMP4B
ENSG00000101438,SLC32A1
ENSG00000101440,ASIP
ENSG00000101489,CELF4
ENSG00000101577,LPIN2
ENSG00000101665,SMAD7
ENSG00000101670,LIPG
ENSG00000101751,POLI
ENSG00000101782,RIOK3
ENSG00000101868,POLA1
ENSG00000101882,NKAP
ENSG00000102001,CACNA1F
ENSG00000102024,PLS3
ENSG00000102081,FMR1
ENSG00000102098,SCML2
ENSG00000102100,SLC35A2
ENSG00000102125,TAFAZZIN
ENSG00000102218,RP2
ENSG00000102245,CD40LG
ENSG00000102287,GABRE
ENSG00000102452,NALCN
ENSG00000102468,HTR2A
ENSG00000102524,TNFSF13B
ENSG00000102531,FNDC3A
ENSG00000102547,CAB39L
ENSG00000102554,KLF5
ENSG00000102572,STK24
ENSG00000102595,UGGT2
ENSG00000102606,ARHGEF7
ENSG00000102755,FLT1
ENSG00000102780,DGKH
ENSG00000102837,OLFM4
ENSG00000102858,MGRN1
ENSG00000102900,NUP93
ENSG00000102908,NFAT5
ENSG00000102935,ZNF423
ENSG00000102967,DHODH
ENSG00000102970,CCL17
ENSG00000102974,CTCF
ENSG00000103018,CYB5B
ENSG00000103035,PSMD7
ENSG00000103037,SETD6
ENSG00000103043,VAC14
ENSG00000103047,TANGO6
ENSG00000103126,AXIN1
ENSG00000103150,MLYCD
ENSG00000103197,TSC2
ENSG00000103202,NME4
ENSG00000103222,ABCC1
ENSG00000103241,FOXF1
ENSG00000103253,HAGHL
ENSG00000103335,PIEZO1
ENSG00000103494,RPGRIP1L
ENSG00000103546,SLC6A2
ENSG00000103569,AQP9
ENSG00000103599,IQCH
ENSG00000103653,CSK
ENSG00000103657,HERC1
ENSG00000103723,AP3B2
ENSG00000103742,IGDCC4
ENSG00000103966,EHD4
ENSG00000104067,TJP1
ENSG00000104081,BMF
ENSG00000104112,SCG3
ENSG00000104164,BLOC1S6
ENSG00000104213,PDGFRL
ENSG00000104237,RP1
ENSG00000104313,EYA1
ENSG00000104320,NBN
ENSG00000104321,TRPA1
ENSG00000104365,IKBKB
ENSG00000104408,EIF3E
ENSG00000104432,IL7
ENSG00000104435,STMN2
ENSG00000104442,ARMC1
ENSG00000104447,TRPS1
ENSG00000104499,GML
ENSG00000104643,MTMR9
ENSG00000104689,TNFRSF10A
ENSG00000104756,KCTD9
ENSG00000104783,KCNN4
ENSG00000104833,TUBB4A
ENSG00000104853,CLPTM1
ENSG00000104856,RELB
ENSG00000104870,FCGRT
ENSG00000104880,ARHGEF18
ENSG00000104885,DOT1L
ENSG00000104969,SGTA
ENSG00000104973,MED25
ENSG00000104998,IL27RA
ENSG00000105048,TNNT1
ENSG00000105171,POP4
ENSG00000105173,CCNE1
ENSG00000105185,PDCD5
ENSG00000105186,ANKRD27
ENSG00000105221,AKT2
ENSG00000105287,PRKD2
ENSG00000105327,BBC3
ENSG00000105329,TGFB1
ENSG00000105357,MYH14
ENSG00000105364,MRPL4
ENSG00000105369,CD79A
ENSG00000105370,LIM2
ENSG00000105371,ICAM4
ENSG00000105383,CD33
ENSG00000105388,CEACAM5
ENSG00000105392,CRX
ENSG00000105398,SULT2A1
ENSG00000105409,ATP1A3
ENSG00000105464,GRIN2D
ENSG00000105538,RASIP1
ENSG00000105550,FGF21
ENSG00000105583,WDR83OS
ENSG00000105607,GCDH
ENSG00000105639,JAK3
ENSG00000105647,PIK3R2
ENSG00000105650,PDE4C
ENSG00000105668,UPK1A
ENSG00000105675,ATP4A
ENSG00000105677,TMEM147
ENSG00000105707,HPN
ENSG00000105726,ATP13A1
ENSG00000105738,SIPA1L3
ENSG00000105810,CDK6
ENSG00000105835,NAMPT
ENSG00000105851,PIK3CG
ENSG00000105854,PON2
ENSG00000105856,HBP1
ENSG00000105866,SP4
ENSG00000105875,WDR91
ENSG00000105877,DNAH11
ENSG00000105948,IFT56
ENSG00000105953,OGDH
ENSG00000105971,CAV2
ENSG00000105976,MET
ENSG00000105982,RNF32
ENSG00000105989,WNT2
ENSG00000105993,DNAJB6
ENSG00000106025,TSPAN12
ENSG00000106031,HOXA13
ENSG00000106049,HIBADH
ENSG00000106066,CPVL
ENSG00000106070,GRB10
ENSG00000106105,GARS1
ENSG00000106258,CYP3A5
ENSG00000106268,NUDT1
ENSG00000106327,TFR2
ENSG00000106348,IMPDH1
ENSG00000106460,TMEM106B
ENSG00000106462,EZH2
ENSG00000106483,SFRP4
ENSG00000106511,MEOX2
ENSG00000106536,POU6F2
ENSG00000106546,AHR
ENSG00000106571,GLI3
ENSG00000106615,RHEB
ENSG00000106628,POLD2
ENSG00000106633,GCK
ENSG00000106648,GALNTL5
ENSG00000106682,EIF4H
ENSG00000106688,SLC1A1
ENSG00000106723,SPIN1
ENSG00000106772,PRUNE2
ENSG00000106799,TGFBR1
ENSG00000106804,C5
ENSG00000106927,AMBP
ENSG00000106991,ENG
ENSG00000107105,ELAVL2
ENSG00000107165,TYRP1
ENSG00000107242,PIP5K1B
ENSG00000107249,GLIS3
ENSG00000107295,SH3GL2
ENSG00000107485,GATA3
ENSG00000107562,CXCL12
ENSG00000107566,ERLIN1
ENSG00000107593,PKD2L1
ENSG00000107611,CUBN
ENSG00000107614,TRDMT1
ENSG00000107651,SEC23IP
ENSG00000107796,ACTA2
ENSG00000107815,TWNK
ENSG00000107859,PITX3
ENSG00000107862,GBF1
ENSG00000107864,CPEB3
ENSG00000107929,LARP4B
ENSG00000107954,NEURL1
ENSG00000107957,SH3PXD2A
ENSG00000108175,ZMIZ1
ENSG00000108176,DNAJC12
ENSG00000108179,PPIF
ENSG00000108239,TBC1D12
ENSG00000108298,RPL19
ENSG00000108370,RGS9
ENSG00000108375,RNF43
ENSG00000108384,RAD51C
ENSG00000108406,DHX40
ENSG00000108424,KPNB1
ENSG00000108433,GOSR2
ENSG00000108443,RPS6KB1
ENSG00000108465,CDK5RAP3
ENSG00000108479,GALK1
ENSG00000108523,RNF167
ENSG00000108556,CHRNE
ENSG00000108557,RAI1
ENSG00000108576,SLC6A4
ENSG00000108599,AKAP10
ENSG00000108691,CCL2
ENSG00000108771,DHX58
ENSG00000108774,RAB5C
ENSG00000108821,COL1A1
ENSG00000108846,ABCC3
ENSG00000108878,CACNG1
ENSG00000108883,EFTUD2
ENSG00000108924,HLF
ENSG00000108953,YWHAE
ENSG00000108984,MAP2K6
ENSG00000109046,WSB1
ENSG00000109072,VTN
ENSG00000109084,TMEM97
ENSG00000109158,GABRA4
ENSG00000109184,DCUN1D4
ENSG00000109255,NMU
ENSG00000109320,NFKB1
ENSG00000109321,AREG
ENSG00000109332,UBE2D3
ENSG00000109390,NDUFC1
ENSG00000109436,TBC1D9
ENSG00000109458,GAB1
ENSG00000109471,IL2
ENSG00000109670,FBXW7
ENSG00000109674,NEIL3
ENSG00000109685,NSD2
ENSG00000109736,MFSD10
ENSG00000109758,HGFAC
ENSG00000109775,UFSP2
ENSG00000109787,KLF3
ENSG00000109851,DBX1
ENSG00000109861,CTSC
ENSG00000109906,ZBTB16
ENSG00000109911,ELP4
ENSG00000109917,ZPR1
ENSG00000109919,MTCH2
ENSG00000109920,FNBP4
ENSG00000109944,JHY
ENSG00000109956,B3GAT1
ENSG00000109991,P2RX3
ENSG00000110025,SNX15
ENSG00000110057,UNC93B1
ENSG00000110080,ST3GAL4
ENSG00000110090,CPT1A
ENSG00000110092,CCND1
ENSG00000110218,PANX1
ENSG00000110243,APOA5
ENSG00000110244,APOA4
ENSG00000110245,APOC3
ENSG00000110395,CBL
ENSG00000110435,PDHX
ENSG00000110514,MADD
ENSG00000110628,SLC67A1
ENSG00000110665,C11orf21
ENSG00000110680,CALCA
ENSG00000110693,SOX6
ENSG00000110721,CHKA
ENSG00000110777,POU2AF1
ENSG00000110799,VWF
ENSG00000110848,CD69
ENSG00000110876,SELPLG
ENSG00000110880,CORO1C
ENSG00000110888,CAPRIN2
ENSG00000110906,KCTD10
ENSG00000110921,MVK
ENSG00000110987,BCL7A
ENSG00000111087,GLI1
ENSG00000111145,ELK3
ENSG00000111199,TRPV4
ENSG00000111206,FOXM1
ENSG00000111252,SH2B3
ENSG00000111262,KCNA1
ENSG00000111266,DUSP16
ENSG00000111271,ACAD10
ENSG00000111275,ALDH2
ENSG00000111276,CDKN1B
ENSG00000111300,NAA25
ENSG00000111321,LTBR
ENSG00000111328,CDK2AP1
ENSG00000111344,RASAL1
ENSG00000111348,ARHGDIB
ENSG00000111358,GTF2H3
ENSG00000111424,VDR
ENSG00000111452,ADGRD1
ENSG00000111530,CAND1
ENSG00000111537,IFNG
ENSG00000111642,CHD4
ENSG00000111679,PTPN6
ENSG00000111684,LPCAT3
ENSG00000111725,PRKAB1
ENSG00000111783,RFX4
ENSG00000111785,RIC8B
ENSG00000111816,FRK
ENSG00000111913,RIPOR2
ENSG00000112038,OPRM1
ENSG00000112039,FANCE
ENSG00000112041,TULP1
ENSG00000112116,IL17F
ENSG00000112164,GLP1R
ENSG00000112175,BMP5
ENSG00000112195,TREML2
ENSG00000112234,FBXL4
ENSG00000112238,PRDM13
ENSG00000112246,SIM1
ENSG00000112249,ASCC3
ENSG00000112273,HDGFL1
ENSG00000112276,POPDC1
ENSG00000112294,ALDH5A1
ENSG00000112306,RPS12
ENSG00000112339,HBS1L
ENSG00000112367,FIG4
ENSG00000112414,ADGRG6
ENSG00000112486,CCR6
ENSG00000112499,SLC22A2
ENSG00000112530,PACRG
